adapt,class,typ,mod,n,unc.min,unc.med,unc.max,ptl,adapt.n,unc.min.n,unc.med.n,unc.max.n
0.966222222222222,Utopia Distance,Total,sig,3,0.955555555555556,0.973333333333333,0.986666666666667,0.733,1.00555041628122,0.994449583718779,1.01295097132285,1.0268270120259
0.922126174496644,Utopia Distance,False Positive,rad,3,0.896924711713247,0.938152610441767,0.968509925682079,0.757,1.01946439373674,0.991602703343035,1.03718255558533,1.07074434228316
0.93278892733564,Utopia Distance,False Positive,lin,3,0.912700705189495,0.947261904761905,0.973333333333333,0.731,1.01865160029908,0.996714269101563,1.0344568067979,1.06292809505839
0.932475490196078,Utopia Distance,False Positive,pol,3,0.911515640704709,0.94642089093702,0.973090235013196,0.733,1.01144730723108,0.988712357571915,1.02657375095639,1.05550173516089
0.933585382716049,Utopia Distance,False Positive,sig,3,0.913086419753086,0.947377777777778,0.973511111111111,0.733,1.01113163968334,0.988929974558453,1.0260696703039,1.05437371262604
0.000355555555556,Utopia Distance,False Negative,rad,3,0,0,0,0.01,3.56363636363636,0,0,0
0.00104737295435,Utopia Distance,False Negative,lin,3,0,0,0,0,2.25839793281654,0,0,0
0,Utopia Distance,False Negative,pol,3,0,0,0,0,0,0,0,0
0,Utopia Distance,False Negative,sig,3,0,0,0,0,0,0,0,0
0.581333333333333,Pareto Distance,Total,rad,6,0.533333333333333,0.6,0.648888888888889,0.746,0.983458646616541,0.902255639097744,1.01503759398496,1.09774436090226
0.912,Pareto Distance,Total,lin,6,0.528777777777778,0.733333333333333,0.946777777777778,0.104,1.23317307692308,0.714993990384615,0.991586538461538,1.28019831730769
0.895111111111111,Pareto Distance,Total,pol,6,0.831111111111111,0.862222222222222,0.893333333333333,0.022,1.03707518022657,0.962924819773429,0.998970133882595,1.03501544799176
0.938666666666667,Pareto Distance,Total,sig,6,0.644444444444444,0.946666666666667,0.964444444444444,0.626,1.00763358778626,0.691793893129771,1.0162213740458,1.03530534351145
0.8501377716135,Pareto Distance,False Positive,rad,6,0.821052631578947,0.876778523489933,0.921135110585815,0.827,1.01338658883407,0.978716336753121,1.04514306592459,1.09801728465752
0.879517808219178,Pareto Distance,False Positive,lin,6,0.843842145369046,0.894158349966733,0.932083237294647,0.726,1.01897914472191,0.977646546247273,1.03594117388013,1.0798796466341
0.878473358116481,Pareto Distance,False Positive,pol,6,0.848523886205046,0.899189093038657,0.935642701525054,0.773,1.01779868988779,0.983099250237566,1.04179992756796,1.0840350558349
0.881095111111111,Pareto Distance,False Positive,sig,6,0.854597530864197,0.90359595959596,0.938745679012346,0.78,1.01532544723501,0.984791096089971,1.04125418496485,1.08175878445312
0.000151815181518,Pareto Distance,False Negative,rad,6,0,0,0.001481897627965,0.243,0.216817217436029,0,0,2.11639519188676
