"","x","var","prob","mod","class","cat"
"183",0.0675675675675676,"x1",1,"pol","Pareto Distance","paret"
"184",0.0675675675675676,"x1",1,"sig","Pareto Distance","paret"
"185",0.0675675675675676,"x1",0.778,"rad","Utopia Distance","paret"
"186",0.0675675675675676,"x1",0.455333333333333,"lin","Utopia Distance","paret"
"187",0.0675675675675676,"x1",0,"pol","Utopia Distance","paret"
"188",0.0675675675675676,"x1",0.002,"sig","Utopia Distance","paret"
"189",0.0675675675675676,"x1",0.42,"rad","Threshold Cutoff","paret"
"190",0.0675675675675676,"x1",0.575333333333333,"lin","Threshold Cutoff","paret"
"191",0.0675675675675676,"x1",1,"pol","Threshold Cutoff","paret"
"192",0.0675675675675676,"x1",1,"sig","Threshold Cutoff","paret"
"193",0.0675675675675676,"x2",0.616,"rad","Pareto Distance","paret"
"194",0.0675675675675676,"x2",0.776666666666667,"lin","Pareto Distance","paret"
"195",0.0675675675675676,"x2",1,"pol","Pareto Distance","paret"
"196",0.0675675675675676,"x2",1,"sig","Pareto Distance","paret"
"197",0.0675675675675676,"x2",0.262666666666667,"rad","Utopia Distance","paret"
"198",0.0675675675675676,"x2",0.215333333333333,"lin","Utopia Distance","paret"
"199",0.0675675675675676,"x2",0,"pol","Utopia Distance","paret"
"200",0.0675675675675676,"x2",0.00333333333333333,"sig","Utopia Distance","paret"
"201",0.0675675675675676,"x2",0.610666666666667,"rad","Threshold Cutoff","paret"
"202",0.0675675675675676,"x2",0.82,"lin","Threshold Cutoff","paret"
"203",0.0675675675675676,"x2",1,"pol","Threshold Cutoff","paret"
"204",0.0675675675675676,"x2",1,"sig","Threshold Cutoff","paret"
"205",0.0675675675675676,"x3",0.508666666666667,"rad","Pareto Distance","paret"
"206",0.0675675675675676,"x3",0.6,"lin","Pareto Distance","paret"
"207",0.0675675675675676,"x3",1,"pol","Pareto Distance","paret"
"208",0.0675675675675676,"x3",1,"sig","Pareto Distance","paret"
"209",0.0675675675675676,"x3",0,"rad","Utopia Distance","paret"
"210",0.0675675675675676,"x3",0,"lin","Utopia Distance","paret"
"211",0.0675675675675676,"x3",0,"pol","Utopia Distance","paret"
"212",0.0675675675675676,"x3",0,"sig","Utopia Distance","paret"
"213",0.0675675675675676,"x3",0.482666666666667,"rad","Threshold Cutoff","paret"
"214",0.0675675675675676,"x3",0.552666666666667,"lin","Threshold Cutoff","paret"
"215",0.0675675675675676,"x3",1,"pol","Threshold Cutoff","paret"
"216",0.0675675675675676,"x3",1,"sig","Threshold Cutoff","paret"
"217",0.0810810810810811,"x1",0.407333333333333,"rad","Pareto Distance","paret"
"218",0.0810810810810811,"x1",0.664666666666667,"lin","Pareto Distance","paret"
"219",0.0810810810810811,"x1",1,"pol","Pareto Distance","paret"
"220",0.0810810810810811,"x1",1,"sig","Pareto Distance","paret"
"221",0.0810810810810811,"x1",0.772,"rad","Utopia Distance","paret"
"222",0.0810810810810811,"x1",0.439333333333333,"lin","Utopia Distance","paret"
"223",0.0810810810810811,"x1",0,"pol","Utopia Distance","paret"
"224",0.0810810810810811,"x1",0.00133333333333333,"sig","Utopia Distance","paret"
"225",0.0810810810810811,"x1",0.415333333333333,"rad","Threshold Cutoff","paret"
"226",0.0810810810810811,"x1",0.575333333333333,"lin","Threshold Cutoff","paret"
"227",0.0810810810810811,"x1",1,"pol","Threshold Cutoff","paret"
"228",0.0810810810810811,"x1",1,"sig","Threshold Cutoff","paret"
