"","X","pka1","pka2","logA","Na.A","Energy.kJ.mol","Flux.mol.m2s","mConc"
"176",176,12.3406233184627,2.85224862033983,-1.01071347953812,-5.24065780566194,33.0014474939115,0.0006395,0.5
"177",177,13.5,0,-0.400680146163618,-7,37.322651822557,0.00078287,0.5
"178",178,12.4531057704401,5.5,-0.73254690288902,-4.5873657367316,35.3956821592145,0.0007908,0.5
"179",179,9.25156372526811,4.42244255062851,-1.45230900558086,-4.55298728761901,23.0475912339781,0.00053522,0.5
"180",180,5.91623075152981,5.5,-1.54758937703227,-4.19384517039141,14.9285126299361,0.00052774,0.5
"181",181,13.5,5.49991322622774,-0.692735504726834,-2.04101860600769,36.9326323960158,0.00076947,0.5
"182",182,8.66838001202741,3.98345735670593,-1.50416224961713,-5.43069004534652,21.7096832058263,0.00053165,0.5
"183",183,12.3956168597272,3.73203689117248,-0.71786149519855,-7,35.3637289633504,0.00080162,0.5
"184",184,8.60931676466766,0.642406874164984,-1.2919386185601,-7,16.2339912092056,0.00046087,0.5
"185",185,9.22537830634076,1.78893548707778,-1.33790292472757,-7,21.6029243439996,0.00054485,0.5
"186",186,10.6789035082123,4.45209375929346,-1.20523244394263,-4.44212113625,28.3026127816734,0.00058477,0.5
"187",187,11.1730521173347,5.49999995303584,-0.533475410461643,-4.84934280075482,33.420252050103,0.00096355,0.5
"188",188,11.4120651959015,3.53710199344785,-1.09214756713576,-4.83286981342327,30.7237239308691,0.00061743,0.5
"189",189,12.4621307901171,1.56680841377045,-1.28642532325422,-6.99751765078269,29.0781183057029,0.00054437,0.5
"190",190,9.39163306392969,2.94088367518925,-1.21756394490338,-6.15040233420838,23.9334805876096,0.00056236,0.5
"191",191,13.5,2.56489758089506,-0.786969427287874,-5.18117901430738,36.2713371594984,0.0007086,0.5
"192",192,6.99133034735945,5.46051916884008,-1.59181692992161,-4.12796879479596,18.3714756635931,0.00052481,0.5
"193",193,13.5,4.48934828060234,-0.849709603382521,-2.89616047298429,35.6827950847089,0.0006742,0.5
"194",194,9.31923054430007,5.5,-1.44669135942778,-6.02808328231596,23.2260093544348,0.00053565,0.5
"195",195,13.5,5.5,-0.599814365670342,-7,37.7607139892112,0.00084377,0.5
"196",196,5.80981705039071,4.34065925179493,-1.50474911924689,-7,12.919417904794,0.00051347,0.5
"197",197,8.77088784148042,5.5,-1.07241147705025,-3.42589403667233,24.6143465044326,0.00062114,0.5
"198",198,7.64017808176092,4.32598769683585,-1.53140983442592,-4.44632948606544,19.3085496299076,0.00052978,0.5
"199",199,8.41820181994491,4.23727797694731,-1.29988884621624,-3.67417137076356,21.5528653729353,0.00055237,0.5
"200",200,10.8271842493734,5.5,-1.05214044514915,-3.63573291427905,29.9150436927605,0.00063432,0.5
"201",201,12.3844530636654,3.35022419328647,-1.14345383414644,-4.06944636883093,31.5126129354112,0.0005905,0.5
"202",202,8.37894208154292,3.41024830736287,-1.45115310610577,-4.46837357529358,20.6646529942423,0.00053596,0.5
"203",203,6.86483633862691,2.51793385643394,-1.25769069660444,-6.99976078236718,12.28814939082,0.00049372,0.5
"204",204,13.5,4.637640226861,-0.819295589929739,-4.55723087230208,35.986011545724,0.0006906,0.5
"205",205,9.96731377465736,1.69791763143714,-0.486176702177459,-4.88316596113162,24.7019877116491,0.00080095,0.5
"206",206,13.5,4.05405261280402,-0.680838563005463,-7,37.1503751047621,0.00077933,0.5
"207",207,10.0546227792359,4.75090669352375,-0.97949337168507,-5.24910728028512,28.5207615724053,0.00066053,0.5
"208",208,13.5,0.945657607790233,-0.847358873538921,0.404951918063854,17.8753379067533,0.00049854,0.5
"209",209,7.90596278368389,5.10224875891647,-1.13707986243895,-3.88258637314679,21.1679469187661,0.00058252,0.5
"210",210,7.1795823471802,3.04720112624522,-1.22998379334165,-7,14.6713478991118,0.00055457,0.5
"211",211,11.4710053653407,0,-1.54754330211005,-7,24.2376493272385,0.00050909,0.5
"212",212,6.70543501179478,4.46582013820397,-1.45674671878156,-6.23066737589514,15.9183339369203,0.00053521,0.5
