"","X","pka1","pka2","logA","Na.A","Energy.kJ.mol","Flux.mol.m2s","order"
"42",42,4.89697635942139,3.16976766544394,0.411507440265268,-1.98642404114362,3.49800975871606,0.010193,0
"43",43,2.04867168271448,5.18770853895694,-1.80540970689617,-2.82633102759719,2.2080330558876,0.013427,0
"44",44,2.34147747396491,1.40370883815922,-0.257718750392087,-5.18818457634188,3.11894177272365,0.064848,0
"45",45,4.96101047762204,4.16813096217811,-1.3459608667763,-3.15937445654999,0.981134659731662,-0.00041201,0
"46",46,10.2152962497203,0.217857779352926,-0.120586461736821,-4.54254634014796,1.34181022107147,-0.0009844,0
"47",47,10.5029724771157,2.64503188000526,-1.21094997902401,-5.57122805544641,1.43679118421365,-0.00056968,0
"48",48,5.68053313624114,2.49574965878855,-0.771974805858918,-0.00336798347998357,3.01673500516568,0.0038681,0
"49",49,8.20684450224508,2.08216670271941,-1.25313729909249,-6.17233008476906,1.24401461995204,-0.00055173,0
"50",50,11.1494101808639,0.45577781368047,-1.3288464343641,0.29161936591845,1.26778475852893,-0.00050179,0
"51",51,12.1055304493057,0.841448643710464,-1.14811943541281,-5.1010251368396,1.47866635953366,-0.00056215,0
"52",52,7.79329164722003,0.0972223373828456,-1.13944048574194,-6.566623062687,1.23278559909126,0.00095517,0
"53",53,13.5,5.5,-2,-2.74169886783928,2.33142735631401,0.014523,1
"54",54,13.5,3.32102651385802,-2,-1.04743839874494,2.30261591662219,0.014505,2
"55",55,13.5,3.48599037934719,-2,-4.79954822313245,2.33212434450926,0.014524,3
"56",56,13.5,1.13160153899374,-2,-3.05195953664662,2.33178570655419,0.014524,4
"57",57,11.5129720757477,5.5,-2,-0.849121143137462,2.28917766625246,0.014501,5
"58",58,13.5,2.44995009580877,-2,0.7,2.08715510079404,0.014515,6
"59",59,13.5,2.50788763848611,-2,-7,2.33213048045869,0.014524,7
"60",60,11.6841244251424,3.70416602627328,-2,-2.94014156396474,2.331684510653,0.014524,8
"61",61,10.1872740916016,5.5,-2,0.7,2.08714220637481,0.014515,9
"62",62,13.5,0,-2,-4.70033627693777,2.33212247768622,0.014524,10
"63",63,11.9482654517873,3.91676248609471,-2,0.7,2.08715488253133,0.014515,11
"64",64,13.5,5.5,-2,-4.82623591627007,2.33212471266365,0.014524,12
"65",65,13.5,0,-2,-1.45770189625042,2.31945555920374,0.014512,13
"66",66,11.5882299747617,1.69603269170066,-2,-1.03150886471066,2.30168363412679,0.014504,14
"67",67,11.7126899596959,1.79088179799031,-2,-4.66294575233027,2.33212161092818,0.014524,15
"68",68,10.1750390468417,5.5,-2,-2.58953735014568,2.33112774336714,0.014523,16
"69",69,13.5,2.82823361457216,-2,-2.7643931081504,2.33146303935615,0.014523,17
"70",70,10.2127015016043,0.652564162292367,-1.99999999978563,-0.254302174742638,2.22198878600777,0.014498,18
"71",71,9.96329273510589,3.54526592215848,-2,-0.684052745429709,2.2746615653317,0.014499,19
"72",72,13.5,5.5,-2,-1.04144184105245,2.30226809951603,0.014504,20
"73",73,11.53441688318,0,-2,-3.18535541676359,2.33185047390447,0.014524,21
"74",74,12.1404073605553,1.22815478927416,-2,0.7,2.08715349714362,0.014515,22
"75",75,8.10584973552822,2.97840002017352,-2,0.653418896047662,2.09075451385789,0.014526,23
"76",76,10.2813043394261,3.48697697934482,-2,-5.03352810950833,2.3321220646355,0.014524,24
"77",77,12.5079313634961,1.04648436279174,-2,-5.86816303940573,2.33212971904796,0.014524,25
"78",78,10.7583935769219,2.53141758527168,-2,0.7,2.0871498844087,0.014515,26
"79",79,10.0602557653817,1.98840029500229,-2,-2.80545357920664,2.33150725570385,0.014523,27
"80",80,7.8069009920171,0.096163667142625,-2,-2.99646325883707,2.22672164675475,0.01514,28
"81",81,13.5,1.41698639423261,-2,-0.560660475534306,2.26172376773578,0.014498,29
"82",82,10.7363447602271,0,-2,-1.49197324349596,2.32018813094603,0.014513,30
"83",83,13.5,4.01713909752509,-2,0.7,2.08715510454387,0.014515,31
"84",84,11.8413389460843,5.5,-2,-3.89603453749829,2.3320809503627,0.014524,32
"85",85,13.5,5.5,-0.552298845980462,0.7,1.17880069712243,-0.00033367,33
"86",86,8.2479301124974,5.49999984664464,-2,-0.79763138998157,2.28442439954051,0.014504,34
"87",87,11.9134498162008,5.5,-2,0.7,2.08715486841328,0.014515,35
"88",88,10.3737776810577,0.357945954050072,-2,-4.69578642466949,2.33195345336751,0.014525,36
"89",89,12.554297543679,4.22225940772039,-2,-6.15767979217973,2.33213022712272,0.014524,37
"90",90,12.0380018169176,0,-2,-0.232089983061408,2.21894201252993,0.014497,38
"91",91,12.3872982223907,4.35398517258716,-1.99999999119611,-1.73859127555223,2.32527237136442,0.014516,39
"92",92,9.10751840813744,4.40606019628736,-1.99999999954308,0.7,2.08699975057655,0.014517,40
"93",93,13.5,1.98303269476829,-2,-4.34481679631784,2.33211292226586,0.014524,41
"94",94,9.13835722241532,0.330625816055865,-2,-1.29730235888962,2.31112471476445,0.014527,42
