"","x","var","prob","method","psd","cat"
"106",2.6530612244898,"x1",0.3185,"SVM-rad",0.0104177192801496,"start"
"107",2.6530612244898,"x2",0.4465,"SVM-pol",0.0111161537862698,"start"
"108",2.6530612244898,"x2",0.3745,"SVM-rad",0.0108224246359122,"start"
"109",2.75510204081633,"x1",0,"SVM-pol",0,"start"
"110",2.75510204081633,"x1",0.268,"SVM-rad",0.0099039386104721,"start"
"111",2.75510204081633,"x2",0.44,"SVM-pol",0.0110995495404093,"start"
"112",2.75510204081633,"x2",0.3725,"SVM-rad",0.0108107296238506,"start"
"113",2.85714285714286,"x1",0,"SVM-pol",0,"start"
"114",2.85714285714286,"x1",0.163,"SVM-rad",0.00825926752200218,"start"
"115",2.85714285714286,"x2",0.476,"SVM-pol",0.0111674527086529,"start"
"116",2.85714285714286,"x2",0.3765,"SVM-rad",0.010833922419881,"start"
"117",2.95918367346939,"x1",0,"SVM-pol",0,"start"
"118",2.95918367346939,"x1",0.1635,"SVM-rad",0.00826945433508161,"start"
"119",2.95918367346939,"x2",0.461,"SVM-pol",0.0111462774054839,"start"
"120",2.95918367346939,"x2",0.3645,"SVM-rad",0.0107619642723808,"start"
"121",3.06122448979592,"x1",0,"SVM-pol",0,"start"
"122",3.06122448979592,"x1",0.143,"SVM-rad",0.00782786688696225,"start"
"123",3.06122448979592,"x2",0.474,"SVM-pol",0.0111652138358385,"start"
"124",3.06122448979592,"x2",0.4515,"SVM-rad",0.0111276176695643,"start"
"125",3.16326530612245,"x1",0,"SVM-pol",0,"start"
"126",3.16326530612245,"x1",0.0995,"SVM-rad",0.00669327087454258,"start"
"127",3.16326530612245,"x2",0.4665,"SVM-pol",0.0111552173891861,"start"
"128",3.16326530612245,"x2",0.4825,"SVM-rad",0.0111734898308452,"start"
"129",3.26530612244898,"x1",5e-04,"SVM-pol",0.000499874984371093,"start"
"130",3.26530612244898,"x1",0.097,"SVM-rad",0.00661781686056663,"start"
"131",3.26530612244898,"x2",0.4625,"SVM-pol",0.0111488508376424,"start"
"132",3.26530612244898,"x2",0.4975,"SVM-rad",0.0111802001323769,"start"
"133",3.36734693877551,"x1",0.001,"SVM-pol",0.000706753139363385,"start"
"134",3.36734693877551,"x1",0.0565,"SVM-rad",0.00516273909857936,"start"
"135",3.36734693877551,"x2",0.4645,"SVM-pol",0.0111521242371129,"start"
"136",3.36734693877551,"x2",0.526,"SVM-rad",0.0111652138358385,"start"
"137",3.46938775510204,"x1",0.0025,"SVM-pol",0.00111663557170636,"start"
"138",3.46938775510204,"x1",0,"SVM-rad",0,"start"
"139",3.46938775510204,"x2",0.479,"SVM-pol",0.011170474475151,"start"
"140",3.46938775510204,"x2",0.561,"SVM-rad",0.0110968238699188,"start"
"141",3.57142857142857,"x1",0.001,"SVM-pol",0.000706753139363385,"start"
"142",3.57142857142857,"x1",0,"SVM-rad",0,"start"
"143",3.57142857142857,"x2",0.465,"SVM-pol",0.0111529144173171,"start"
"144",3.57142857142857,"x2",0.5765,"SVM-rad",0.0110487046752097,"start"
"145",3.6734693877551,"x1",0.001,"SVM-pol",0.000706753139363385,"start"
"146",3.6734693877551,"x1",0,"SVM-rad",0,"start"
"147",3.6734693877551,"x2",0.4535,"SVM-pol",0.011131885509652,"start"
"148",3.6734693877551,"x2",0.589,"SVM-rad",0.0110017953080395,"start"
"149",3.77551020408163,"x1",0.003,"SVM-pol",0.00122290637417588,"start"
"150",3.77551020408163,"x1",0,"SVM-rad",0,"start"
"151",3.77551020408163,"x2",0.475,"SVM-pol",0.0111663557170636,"start"
"152",3.77551020408163,"x2",0.579,"SVM-rad",0.0110399048908947,"start"
"153",3.87755102040816,"x1",5e-04,"SVM-pol",0.000499874984371093,"start"
"154",3.87755102040816,"x1",0,"SVM-rad",0,"start"
"155",3.87755102040816,"x2",0.4685,"SVM-pol",0.0111581304437616,"start"
"156",3.87755102040816,"x2",0.5625,"SVM-rad",0.0110926495933118,"start"
"157",3.97959183673469,"x1",5e-04,"SVM-pol",0.000499874984371093,"start"
"158",3.97959183673469,"x1",0,"SVM-rad",0,"start"
"159",3.97959183673469,"x2",0.4685,"SVM-pol",0.0111581304437616,"start"
"160",3.97959183673469,"x2",0.5585,"SVM-rad",0.0111035523594929,"start"
"161",4.08163265306122,"x1",5e-04,"SVM-pol",0.000499874984371093,"start"
"162",4.08163265306122,"x1",0,"SVM-rad",0,"start"
"163",4.08163265306122,"x2",0.44,"SVM-pol",0.0110995495404093,"start"
"164",4.08163265306122,"x2",0.511,"SVM-rad",0.0111776339177842,"start"
"165",4.18367346938776,"x1",0.001,"SVM-pol",0.000706753139363385,"start"
"166",4.18367346938776,"x1",0,"SVM-rad",0,"start"
"167",4.18367346938776,"x2",0.4585,"SVM-pol",0.0111417626522916,"start"
"168",4.18367346938776,"x2",0.514,"SVM-rad",0.0111759563349183,"start"
"169",4.28571428571429,"x1",0.001,"SVM-pol",0.000706753139363385,"start"
"170",4.28571428571429,"x1",0,"SVM-rad",0,"start"
"171",4.28571428571429,"x2",0.4395,"SVM-pol",0.0110981924203899,"start"
"172",4.28571428571429,"x2",0.4785,"SVM-rad",0.011169998880931,"start"
"173",4.38775510204082,"x1",0,"SVM-pol",0,"start"
"174",4.38775510204082,"x1",0,"SVM-rad",0,"start"
"175",4.38775510204082,"x2",0.4305,"SVM-pol",0.0110718054083334,"start"
"176",4.38775510204082,"x2",0.4505,"SVM-rad",0.0111254157225697,"start"
"177",4.48979591836735,"x1",0,"SVM-pol",0,"start"
"178",4.48979591836735,"x1",0,"SVM-rad",0,"start"
"179",4.48979591836735,"x2",0.4225,"SVM-pol",0.0110452195541782,"start"
"180",4.48979591836735,"x2",0.397,"SVM-rad",0.010940543862167,"start"
"181",4.59183673469388,"x1",0,"SVM-pol",0,"start"
"182",4.59183673469388,"x1",0,"SVM-rad",0,"start"
"183",4.59183673469388,"x2",0.4165,"SVM-pol",0.011023333207338,"start"
"184",4.59183673469388,"x2",0.367,"SVM-rad",0.0107775461028937,"start"
"185",4.69387755102041,"x1",0,"SVM-pol",0,"start"
"186",4.69387755102041,"x1",0,"SVM-rad",0,"start"
"187",4.69387755102041,"x2",0.3425,"SVM-pol",0.0106111674664007,"start"
"188",4.69387755102041,"x2",0.317,"SVM-rad",0.0104045903331174,"start"
"189",4.79591836734694,"x1",0,"SVM-pol",0,"start"
"190",4.79591836734694,"x1",0,"SVM-rad",0,"start"
"191",4.79591836734694,"x2",0.247,"SVM-pol",0.00964341744403922,"start"
"192",4.79591836734694,"x2",0.305,"SVM-rad",0.0102950230694253,"start"
"193",4.89795918367347,"x1",0,"SVM-pol",0,"start"
"194",4.89795918367347,"x1",0,"SVM-rad",0,"start"
"195",4.89795918367347,"x2",0,"SVM-pol",0,"start"
"196",4.89795918367347,"x2",0.297,"SVM-rad",0.0102174116096005,"start"
"197",5,"x1",0,"SVM-pol",0,"start"
"198",5,"x1",0,"SVM-rad",0,"start"
"199",5,"x2",0.3025,"SVM-pol",0.0102711671683407,"start"
"200",5,"x2",0.284,"SVM-rad",0.0100832534432097,"start"
"201",0,"x1",0.6745,"SVM-pol",0.0104773505715901,"adapt"
"202",0,"x1",0,"SVM-rad",0,"adapt"
"203",0,"x2",0.299,"SVM-pol",0.0102371626928559,"adapt"
"204",0,"x2",0,"SVM-rad",0,"adapt"
"205",0.102040816326531,"x1",0.7375,"SVM-pol",0.00983854028807119,"adapt"
"206",0.102040816326531,"x1",0.1695,"SVM-rad",0.00838956941684137,"adapt"
"207",0.102040816326531,"x2",0.292,"SVM-pol",0.0101670054588359,"adapt"
"208",0.102040816326531,"x2",0,"SVM-rad",0,"adapt"
"209",0.204081632653061,"x1",0.7725,"SVM-pol",0.00937399994666098,"adapt"
"210",0.204081632653061,"x1",0.2655,"SVM-rad",0.00987445568120086,"adapt"
"211",0.204081632653061,"x2",0.328,"SVM-pol",0.0104979998094875,"adapt"
"212",0.204081632653061,"x2",0,"SVM-rad",0,"adapt"
"213",0.306122448979592,"x1",0.7945,"SVM-pol",0.00903520198999447,"adapt"
"214",0.306122448979592,"x1",0.3315,"SVM-rad",0.0105263419572043,"adapt"
"215",0.306122448979592,"x2",0.3225,"SVM-pol",0.0104521229900915,"adapt"
"216",0.306122448979592,"x2",0,"SVM-rad",0,"adapt"
"217",0.408163265306122,"x1",0.8305,"SVM-pol",0.00838956941684137,"adapt"
"218",0.408163265306122,"x1",0.385,"SVM-rad",0.0108806020054039,"adapt"
"219",0.408163265306122,"x2",0.357,"SVM-pol",0.0107133328147687,"adapt"
"220",0.408163265306122,"x2",0,"SVM-rad",0,"adapt"
"221",0.510204081632653,"x1",0.8415,"SVM-pol",0.00816632567315313,"adapt"
"222",0.510204081632653,"x1",0.387,"SVM-rad",0.0108910743271727,"adapt"
"223",0.510204081632653,"x2",0.375,"SVM-pol",0.0108253175473055,"adapt"
"224",0.510204081632653,"x2",0,"SVM-rad",0,"adapt"
"225",0.612244897959184,"x1",0.8535,"SVM-pol",0.0079068878201224,"adapt"
"226",0.612244897959184,"x1",0.381,"SVM-rad",0.0108590745462033,"adapt"
"227",0.612244897959184,"x2",0.3765,"SVM-pol",0.010833922419881,"adapt"
"228",0.612244897959184,"x2",0,"SVM-rad",0,"adapt"
"229",0.714285714285714,"x1",0.8715,"SVM-pol",0.00748290551858033,"adapt"
"230",0.714285714285714,"x1",0.6205,"SVM-rad",0.0108508006617023,"adapt"
"231",0.714285714285714,"x2",0.3985,"SVM-pol",0.0109475510960214,"adapt"
"232",0.714285714285714,"x2",0,"SVM-rad",0,"adapt"
"233",0.816326530612245,"x1",0.8705,"SVM-pol",0.00750765442731616,"adapt"
"234",0.816326530612245,"x1",0.82,"SVM-rad",0.00859069263796581,"adapt"
"235",0.816326530612245,"x2",0.43,"SVM-pol",0.0110702303499069,"adapt"
"236",0.816326530612245,"x2",0.0925,"SVM-rad",0.00647857044416436,"adapt"
"237",0.918367346938776,"x1",0.8955,"SVM-pol",0.00684031249286171,"adapt"
"238",0.918367346938776,"x1",0.813,"SVM-rad",0.00871868682772813,"adapt"
"239",0.918367346938776,"x2",0.4335,"SVM-pol",0.0110810141683873,"adapt"
"240",0.918367346938776,"x2",0.282,"SVM-rad",0.0100617095962863,"adapt"
"241",1.02040816326531,"x1",0.903,"SVM-pol",0.00661781686056663,"adapt"
"242",1.02040816326531,"x1",0.7735,"SVM-rad",0.00935942706579842,"adapt"
"243",1.02040816326531,"x2",0.426,"SVM-pol",0.0110572148391898,"adapt"
"244",1.02040816326531,"x2",0.4935,"SVM-rad",0.0111793951088599,"adapt"
"245",1.12244897959184,"x1",0.9035,"SVM-pol",0.00660256578914591,"adapt"
"246",1.12244897959184,"x1",0.7435,"SVM-rad",0.00976493087533138,"adapt"
"247",1.12244897959184,"x2",0.453,"SVM-pol",0.0111308355481518,"adapt"
"248",1.12244897959184,"x2",0.524,"SVM-rad",0.0111674527086529,"adapt"
"249",1.22448979591837,"x1",0.913,"SVM-pol",0.0063020234845643,"adapt"
"250",1.22448979591837,"x1",0.6855,"SVM-rad",0.0103824310736937,"adapt"
"251",1.22448979591837,"x2",0.442,"SVM-pol",0.0111048637992548,"adapt"
"252",1.22448979591837,"x2",0.5245,"SVM-rad",0.0111669098232233,"adapt"
"253",1.3265306122449,"x1",0.919,"SVM-pol",0.00610077863882964,"adapt"
"254",1.3265306122449,"x1",0.67,"SVM-rad",0.0105142760093123,"adapt"
"255",1.3265306122449,"x2",0.4675,"SVM-pol",0.0111566964196396,"adapt"
"256",1.3265306122449,"x2",0.5285,"SVM-rad",0.0111621626488777,"adapt"
"257",1.42857142857143,"x1",0.9245,"SVM-pol",0.00590761161553466,"adapt"
"258",1.42857142857143,"x1",0.8205,"SVM-rad",0.00858136789795193,"adapt"
"259",1.42857142857143,"x2",0.468,"SVM-pol",0.0111574190563947,"adapt"
"260",1.42857142857143,"x2",0.5195,"SVM-rad",0.0111718340034213,"adapt"
"261",1.53061224489796,"x1",0.9115,"SVM-pol",0.00635089560613305,"adapt"
"262",1.53061224489796,"x1",0.8235,"SVM-rad",0.00852489736008593,"adapt"
"263",1.53061224489796,"x2",0.4955,"SVM-pol",0.0111798870745639,"adapt"
"264",1.53061224489796,"x2",0.5205,"SVM-rad",0.0111709388593797,"adapt"
"265",1.63265306122449,"x1",0.883,"SVM-pol",0.00718717607965743,"adapt"
"266",1.63265306122449,"x1",0.74,"SVM-rad",0.00980815986819138,"adapt"
"267",1.63265306122449,"x2",0.467,"SVM-pol",0.0111559625313103,"adapt"
"268",1.63265306122449,"x2",0.464,"SVM-rad",0.0111513227914898,"adapt"
"269",1.73469387755102,"x1",0.861,"SVM-pol",0.00773559952427735,"adapt"
"270",1.73469387755102,"x1",0.716,"SVM-rad",0.0100832534432097,"adapt"
"271",1.73469387755102,"x2",0.487,"SVM-pol",0.0111765602937576,"adapt"
"272",1.73469387755102,"x2",0.4615,"SVM-rad",0.0111471464958526,"adapt"
"273",1.83673469387755,"x1",0.8235,"SVM-pol",0.00852489736008593,"adapt"
"274",1.83673469387755,"x1",0.6665,"SVM-rad",0.0105422424085201,"adapt"
"275",1.83673469387755,"x2",0.49,"SVM-pol",0.0111781035958699,"adapt"
"276",1.83673469387755,"x2",0.4465,"SVM-rad",0.0111161537862698,"adapt"
"277",1.93877551020408,"x1",0.792,"SVM-pol",0.00907568179257074,"adapt"
"278",1.93877551020408,"x1",0.62,"SVM-rad",0.0108535708409721,"adapt"
"279",1.93877551020408,"x2",0.498,"SVM-pol",0.0111802504444221,"adapt"
"280",1.93877551020408,"x2",0.428,"SVM-rad",0.011063814893607,"adapt"
"281",2.04081632653061,"x1",0.7805,"SVM-pol",0.00925526201682049,"adapt"
"282",2.04081632653061,"x1",0.6375,"SVM-rad",0.0107492732312468,"adapt"
"283",2.04081632653061,"x2",0.5225,"SVM-pol",0.0111690140567554,"adapt"
"284",2.04081632653061,"x2",0.4215,"SVM-rad",0.0110416880502938,"adapt"
"285",2.14285714285714,"x1",0.749,"SVM-pol",0.00969533392926721,"adapt"
"286",2.14285714285714,"x1",0.615,"SVM-rad",0.0108806020054039,"adapt"
"287",2.14285714285714,"x2",0.5195,"SVM-pol",0.0111718340034213,"adapt"
"288",2.14285714285714,"x2",0.3955,"SVM-rad",0.0109334292424655,"adapt"
"289",2.24489795918367,"x1",0.705,"SVM-pol",0.0101974261458468,"adapt"
"290",2.24489795918367,"x1",0.618,"SVM-rad",0.0108645294421802,"adapt"
"291",2.24489795918367,"x2",0.5165,"SVM-pol",0.0111742505341522,"adapt"
"292",2.24489795918367,"x2",0.3685,"SVM-rad",0.0107867453386089,"adapt"
"293",2.3469387755102,"x1",0.663,"SVM-pol",0.0105695553359638,"adapt"
"294",2.3469387755102,"x1",0.5485,"SVM-rad",0.0111276176695643,"adapt"
"295",2.3469387755102,"x2",0.521,"SVM-pol",0.011170474475151,"adapt"
"296",2.3469387755102,"x2",0.3565,"SVM-rad",0.0107099894957932,"adapt"
"297",2.44897959183673,"x1",0.5855,"SVM-pol",0.0110156649821969,"adapt"
"298",2.44897959183673,"x1",0.5005,"SVM-rad",0.0111803342973276,"adapt"
"299",2.44897959183673,"x2",0.529,"SVM-pol",0.0111615187138669,"adapt"
"300",2.44897959183673,"x2",0.3485,"SVM-rad",0.010654758326682,"adapt"
"301",2.55102040816327,"x1",0.489,"SVM-pol",0.0111776339177842,"adapt"
"302",2.55102040816327,"x1",0.3815,"SVM-rad",0.010861808090737,"adapt"
"303",2.55102040816327,"x2",0.5255,"SVM-pol",0.0111657903885036,"adapt"
"304",2.55102040816327,"x2",0.298,"SVM-rad",0.0102273163635433,"adapt"
"305",2.6530612244898,"x1",0.352,"SVM-pol",0.0106793258214178,"adapt"
"306",2.6530612244898,"x1",0.3005,"SVM-rad",0.0102518230086166,"adapt"
"307",2.6530612244898,"x2",0.531,"SVM-pol",0.0111588305838918,"adapt"
"308",2.6530612244898,"x2",0.293,"SVM-rad",0.0101772049208022,"adapt"
"309",2.75510204081633,"x1",0,"SVM-pol",0,"adapt"
"310",2.75510204081633,"x1",0.1945,"SVM-rad",0.00885069912492793,"adapt"
"311",2.75510204081633,"x2",0.537,"SVM-pol",0.011149686094236,"adapt"
"312",2.75510204081633,"x2",0.226,"SVM-rad",0.00935211206091971,"adapt"
"313",2.85714285714286,"x1",0,"SVM-pol",0,"adapt"
"314",2.85714285714286,"x1",0.1635,"SVM-rad",0.00826945433508161,"adapt"
"315",2.85714285714286,"x2",0.5185,"SVM-pol",0.0111726843238319,"adapt"
"316",2.85714285714286,"x2",0.177,"SVM-rad",0.00853437168161781,"adapt"
"317",2.95918367346939,"x1",0,"SVM-pol",0,"adapt"
"318",2.95918367346939,"x1",0.156,"SVM-rad",0.00811369213120636,"adapt"
"319",2.95918367346939,"x2",0.54,"SVM-pol",0.011144505372604,"adapt"
"320",2.95918367346939,"x2",0.2645,"SVM-rad",0.00986254911267873,"adapt"
"321",3.06122448979592,"x1",0,"SVM-pol",0,"adapt"
"322",3.06122448979592,"x1",0.1305,"SVM-rad",0.00753225563825339,"adapt"
"323",3.06122448979592,"x2",0.533,"SVM-pol",0.0111559625313103,"adapt"
"324",3.06122448979592,"x2",0.333,"SVM-rad",0.0105382873371341,"adapt"
"325",3.16326530612245,"x1",0,"SVM-pol",0,"adapt"
"326",3.16326530612245,"x1",0.115,"SVM-rad",0.00713354750457302,"adapt"
"327",3.16326530612245,"x2",0.5255,"SVM-pol",0.0111657903885036,"adapt"
"328",3.16326530612245,"x2",0.4215,"SVM-rad",0.0110416880502938,"adapt"
"329",3.26530612244898,"x1",0,"SVM-pol",0,"adapt"
"330",3.26530612244898,"x1",0.0995,"SVM-rad",0.00669327087454258,"adapt"
"331",3.26530612244898,"x2",0.5545,"SVM-pol",0.0111137246231855,"adapt"
"332",3.26530612244898,"x2",0.4645,"SVM-rad",0.0111521242371129,"adapt"
"333",3.36734693877551,"x1",0,"SVM-pol",0,"adapt"
"334",3.36734693877551,"x1",0.0695,"SVM-rad",0.00568637626261225,"adapt"
"335",3.36734693877551,"x2",0.5385,"SVM-pol",0.0111471464958526,"adapt"
