"","x","prob","psd","var","cat"
"41",2.04081632653061,0.28,0.0634980314655502,"x1","tru"
"42",2.04081632653061,0.26,0.0620322496770833,"x2","tru"
"43",2.14285714285714,0.26,0.0620322496770833,"x1","tru"
"44",2.14285714285714,0.24,0.060398675482166,"x2","tru"
"45",2.24489795918367,0.22,0.0585832740635072,"x1","tru"
"46",2.24489795918367,0.26,0.0620322496770833,"x2","tru"
"47",2.3469387755102,0.2,0.0565685424949238,"x1","tru"
"48",2.3469387755102,0.26,0.0620322496770833,"x2","tru"
"49",2.44897959183673,0.16,0.0518459255872629,"x1","tru"
"50",2.44897959183673,0.22,0.0585832740635072,"x2","tru"
"51",2.55102040816327,0.12,0.0459565011723042,"x1","tru"
"52",2.55102040816327,0.16,0.0518459255872629,"x2","tru"
"53",2.6530612244898,0,0,"x1","tru"
"54",2.6530612244898,0.12,0.0459565011723042,"x2","tru"
"55",2.75510204081633,0,0,"x1","tru"
"56",2.75510204081633,0.08,0.0383666521865018,"x2","tru"
"57",2.85714285714286,0,0,"x1","tru"
"58",2.85714285714286,0.04,0.027712812921102,"x2","tru"
"59",2.95918367346939,0,0,"x1","tru"
"60",2.95918367346939,0.12,0.0459565011723042,"x2","tru"
"61",3.06122448979592,0,0,"x1","tru"
"62",3.06122448979592,0.16,0.0518459255872629,"x2","tru"
"63",3.16326530612245,0,0,"x1","tru"
"64",3.16326530612245,0.22,0.0585832740635072,"x2","tru"
"65",3.26530612244898,0,0,"x1","tru"
"66",3.26530612244898,0.3,0.0648074069840786,"x2","tru"
"67",3.36734693877551,0,0,"x1","tru"
"68",3.36734693877551,0.36,0.0678822509939086,"x2","tru"
"69",3.46938775510204,0,0,"x1","tru"
"70",3.46938775510204,0.4,0.0692820323027551,"x2","tru"
"71",3.57142857142857,0,0,"x1","tru"
"72",3.57142857142857,0.46,0.0704840407468244,"x2","tru"
"73",3.6734693877551,0,0,"x1","tru"
"74",3.6734693877551,0.48,0.0706540869306228,"x2","tru"
"75",3.77551020408163,0,0,"x1","tru"
"76",3.77551020408163,0.5,0.0707106781186548,"x2","tru"
"77",3.87755102040816,0,0,"x1","tru"
"78",3.87755102040816,0.52,0.0706540869306228,"x2","tru"
"79",3.97959183673469,0,0,"x1","tru"
"80",3.97959183673469,0.52,0.0706540869306228,"x2","tru"
"81",4.08163265306122,0,0,"x1","tru"
"82",4.08163265306122,0.52,0.0706540869306228,"x2","tru"
"83",4.18367346938776,0,0,"x1","tru"
"84",4.18367346938776,0.52,0.0706540869306228,"x2","tru"
"85",4.28571428571429,0,0,"x1","tru"
"86",4.28571428571429,0.5,0.0707106781186548,"x2","tru"
"87",4.38775510204082,0,0,"x1","tru"
"88",4.38775510204082,0.44,0.070199715099137,"x2","tru"
"89",4.48979591836735,0,0,"x1","tru"
"90",4.48979591836735,0.34,0.0669925368977769,"x2","tru"
"91",4.59183673469388,0,0,"x1","tru"
"92",4.59183673469388,0.18,0.0543323108288245,"x2","tru"
"93",4.69387755102041,0,0,"x1","tru"
"94",4.69387755102041,0,0,"x2","tru"
"95",4.79591836734694,0,0,"x1","tru"
"96",4.79591836734694,0,0,"x2","tru"
"97",4.89795918367347,0,0,"x1","tru"
"98",4.89795918367347,0,0,"x2","tru"
"99",5,0,0,"x1","tru"
"100",5,0,0,"x2","tru"
"25%",0,0.18563785303221,0.331502381932703,"x1","start"
"25%1",0.102040816326531,0.246193700697244,0.400630927205581,"x1","start"
"25%2",0.204081632653061,0.273619467879005,0.414759594917936,"x1","start"
"25%3",0.306122448979592,0.333784888030531,0.443167995749532,"x1","start"
"25%4",0.408163265306122,0.32422411075712,0.4387464538982,"x1","start"
"25%5",0.510204081632653,0.338079075060521,0.445005028908569,"x1","start"
"25%6",0.612244897959184,0.364895499318127,0.450488088356907,"x1","start"
"25%7",0.714285714285714,0.409504479755488,0.462473190982469,"x1","start"
"25%8",0.816326530612245,0.418753354687132,0.467332586405095,"x1","start"
"25%9",0.918367346938776,0.433733498337722,0.469041179749374,"x1","start"
"25%10",1.02040816326531,0.447214071870271,0.469058289394679,"x1","start"
"25%11",1.12244897959184,0.454903106711574,0.471298832479731,"x1","start"
"25%12",1.22448979591837,0.452186147944618,0.461085092545281,"x1","start"
"25%13",1.3265306122449,0.386186824426112,0.452948662441851,"x1","start"
"25%14",1.42857142857143,0.387327719480128,0.453340611465841,"x1","start"
"25%15",1.53061224489796,0.322747786384088,0.427568640552657,"x1","start"
"25%16",1.63265306122449,0.304489567031131,0.429486940379279,"x1","start"
"25%17",1.73469387755102,0.29621298691199,0.432352679060763,"x1","start"
"25%18",1.83673469387755,0.270314790548377,0.422062157746288,"x1","start"
"25%19",1.93877551020408,0.232361999051385,0.404168999834691,"x1","start"
"25%20",2.04081632653061,0.202656989783423,0.386061865345414,"x1","start"
"25%21",2.14285714285714,0.145492915744775,0.340289773815466,"x1","start"
"25%22",2.24489795918367,0.120976898950175,0.309958905021254,"x1","start"
"25%23",2.3469387755102,0.0204730696400106,0.111427394971732,"x1","start"
"25%24",2.44897959183673,2.47048582604297e-06,1.00763755751033e-05,"x1","start"
"25%25",2.55102040816327,1.15878769919931e-07,5.5149765538405e-07,"x1","start"
"25%26",2.6530612244898,3.67299739521602e-09,1.8253955456115e-08,"x1","start"
"25%27",2.75510204081633,6.47715679039628e-11,3.55251428921312e-10,"x1","start"
"25%28",2.85714285714286,7.00860985000915e-13,3.93469686808203e-12,"x1","start"
"25%29",2.95918367346939,3.64967174887048e-15,2.14955037564076e-14,"x1","start"
"25%30",3.06122448979592,1.27654846638119e-17,7.99981139224317e-17,"x1","start"
"25%31",3.16326530612245,3.71229787050918e-20,2.17049489155017e-19,"x1","start"
"25%32",3.26530612244898,7.21112697523239e-23,4.72938029122735e-22,"x1","start"
"25%33",3.36734693877551,1.57905724747447e-25,1.06150592319817e-24,"x1","start"
"25%34",3.46938775510204,3.68992180441018e-28,2.50706976068346e-27,"x1","start"
"25%35",3.57142857142857,7.65528506059503e-31,5.39033348966232e-30,"x1","start"
"25%36",3.6734693877551,1.95378902536586e-33,1.19981335171515e-32,"x1","start"
"25%37",3.77551020408163,3.32332138151589e-36,2.21577523715484e-35,"x1","start"
"25%38",3.87755102040816,7.69601338609373e-39,4.60826414300223e-38,"x1","start"
