pka1,pka2,logA,Na.A,Energy.kJ.mol,Flux.mol.m2s,DIC.cyc,pCO2.lean
6.61779515142553,4.62528758577537,-1.25661922665313,-0.49482166627422,28.2810778397505,-5.5239E-05,0.051529015493775,3.46829243257176E-05
2.118392001139,3.78344478178769,0.305727217462845,2.70922506554052,-1.39625568131475,0.82972,-3.82164631873279,62.7812789170665
9.55043886776548,3.6604426583508,-0.008237133617513,0.550821349490434,23.9212903825599,-0.00012284,1.73663212000073,1.52243917335595E-08
2.03674268606119,3.98451772797853,0.409601031104103,4.40187171613798,-1.35362547188608,1.3088,-5.11387103862271,86.7753789904434
9.1848375168629,1.37895072426181,-1.5835307566449,1.57527471566573,17.8010642661406,-4.7426E-05,0.020459706517235,0.00140060621957
4.45267419004813,4.1410662997514,-1.41897502576467,2.22111734515056,9.36882212833077,0.00012346,0.02499331108102,0.049060920677163
6.78793406847399,2.89284874731675,-0.714789251680486,3.36861182097346,8.31205826761334,-2.5213E-06,0.268566803586837,0.014444942485296
5.02869400870986,3.1368159246631,-1.22397282673046,3.69427788350731,-26.5558264976357,0.00060198,-0.007655747467767,0.174399075884744
6.13325396145228,4.89300256350543,0.472795085050166,2.21599223045632,10.8111343715574,-9.8267E-05,3.81846553520806,0.007458855629229
3.3349247694714,0.81351490423549,0.389655605657026,0.608715136535466,-4.36119166483371,0.55882,-1.3938322194238,40.6229542199767
7.65798447118141,4.28672417264897,0.15581251308322,1.24617516575381,14.3839249454993,-0.00013616,2.38493733234768,5.50645497652975E-05
9.14930777542759,2.06569106027018,-1.88691690785345,3.24500668048859,-13.1953735499558,0.00088928,-0.004336821931028,0.276505824782742
5.29420864360873,2.50816931680311,-1.08954534505028,4.30339012481272,-2.06817020526888,0.001704,-0.079603637138618,0.448254366649767
5.43874663871247,1.26412681606598,-0.097188058309257,0.889582340605557,-2.6264367565884,0.039601,-0.675319248541038,5.06922154503102
10.4463101720903,5.16710020729806,-1.27839093841612,2.66841579182073,17.3557258737256,-5.02E-05,0.070103943855105,0.000551144212835
