"","group","probs","E01","E02","type","str"
"164","SiH3",0.779255178046711,0.203,0.148,"?",NA
"165","SiH3",0.0623018573824782,0.233,0.272,"?",NA
"166","SiH3",0.0245775818731327,0.247,0.322,"?",NA
"167","SiH3",0.155056012520217,0.191,0.237,"?",NA
"168","SiH3",0.0623018573824782,0.233,0.272,"?",NA
"169","SiH3",0.0245775818731327,0.247,0.322,"?",NA
"170","SiH3",0.65113773596073,0.194,0.151,"?",NA
"171","SiH3",0.0623018573824782,0.233,0.272,"?",NA
"172","SiH3",0.0245775818731327,0.247,0.322,"?",NA
"173","SiH3",0.779255178046711,0.203,0.148,"?",NA
"174","SiH3",0.0245775818731327,0.247,0.322,"?",NA
"175","CHO",0.667989606467043,0.393,0.362,"Withdrawing",-2
"176","CHO",0.0760288166968564,0.658,0.835,"Withdrawing",-2
"177","CHO",0.553145505355592,0.628,0.569,"Withdrawing",-2
"178","CHO",0.0750288071130305,0.634,0.673,"Withdrawing",-2
"179","CHO",0.0225260144889236,0.796,0.978,"Withdrawing",-2
"180","CHO",0.0231688031143437,0.873,1.005,"Withdrawing",-2
"181","CHO",0.0760288166968564,0.658,0.835,"Withdrawing",-2
"182","CHO",0.0225260144889236,0.796,0.978,"Withdrawing",-2
"183","CHO",0.0231688031143437,0.873,1.005,"Withdrawing",-2
"184","CHO",0.553145505355592,0.628,0.569,"Withdrawing",-2
"185","CHO",0.0225260144889236,0.796,0.978,"Withdrawing",-2
"186","CHO",0.0231688031143437,0.873,1.005,"Withdrawing",-2
"187","CHO",0.0750288071130305,0.634,0.673,"Withdrawing",-2
"188","CHO",0.0231688031143437,0.873,1.005,"Withdrawing",-2
"189","COOCH3",0.763767073840112,0.339,0.26,"Withdrawing",-4
"190","COOCH3",0.681777775515352,0.445,0.417,"Withdrawing",-4
"191","COOCH3",0.783597842007857,0.49,0.398,"Withdrawing",-4
"192","COOCH3",0.583899066986281,0.518,0.437,"Withdrawing",-4
"193","COOCH3",0.695838904801658,0.586,0.559,"Withdrawing",-4
"194","COOCH3",0.0248945210514389,0.744,0.68,"Withdrawing",-4
"195","COOCH3",0.681777775515352,0.445,0.417,"Withdrawing",-4
"196","COOCH3",0.695838904801658,0.586,0.559,"Withdrawing",-4
"197","COOCH3",0.0248945210514389,0.744,0.68,"Withdrawing",-4
"198","COOCH3",0.783597842007857,0.49,0.398,"Withdrawing",-4
"199","COOCH3",0.695838904801658,0.586,0.559,"Withdrawing",-4
"200","COOCH3",0.0248945210514389,0.744,0.68,"Withdrawing",-4
"201","COOCH3",0.583899066986281,0.518,0.437,"Withdrawing",-4
"202","COOCH3",0.0248945210514389,0.744,0.68,"Withdrawing",-4
"203","CF3",0.661881236029248,0.365,0.263,"Withdrawing",-7
"204","CF3",0.63615637748228,0.365,0.263,"Withdrawing",-7
"205","CF3",0.0272566618807365,0.614,0.487,"Withdrawing",-7
"206","CF3",0.144310480472042,0.62,0.496,"Withdrawing",-7
"207","CF3",0.187898448304572,0.845,0.748,"Withdrawing",-7
"208","CF3",0.241813034941931,0.972,0.902,"Withdrawing",-7
"209","CF3",0.63615637748228,0.365,0.263,"Withdrawing",-7
"210","CF3",0.187898448304572,0.845,0.748,"Withdrawing",-7
"211","CF3",0.241813034941931,0.972,0.902,"Withdrawing",-7
"212","CF3",0.0272566618807365,0.614,0.487,"Withdrawing",-7
"213","CF3",0.187898448304572,0.845,0.748,"Withdrawing",-7
"214","CF3",0.241813034941931,0.972,0.902,"Withdrawing",-7
"215","CF3",0.144310480472042,0.62,0.496,"Withdrawing",-7
"216","CF3",0.241813034941931,0.972,0.902,"Withdrawing",-7
"217","CN",0.207659743483639,0.479,0.401,"Withdrawing",-8
"218","CN",0.175016028508025,0.886,0.856,"Withdrawing",-8
"219","CN",0.123658753767648,0.814,0.72,"Withdrawing",-8
"220","CN",0.21355853107031,0.815,0.734,"Withdrawing",-8
"221","CN",0.265037369606623,1.178,1.122,"Withdrawing",-8
