"","group","probs","E01","E02","type","str"
"132","Cl",0.446806000394603,1.096,1.079,"Withdrawing",-1
"133","Br",0.753518572106277,0.243,0.191,"Withdrawing",-1
"134","Br",0.100696966847238,0.33,0.315,"Withdrawing",-1
"135","Br",0.101847770154047,0.377,0.352,"Withdrawing",-1
"136","Br",0.163383122969148,0.387,0.358,"Withdrawing",-1
"137","Br",0.101342281801164,0.462,0.477,"Withdrawing",-1
"138","Br",0.122849407559956,0.539,0.581,"Withdrawing",-1
"139","Br",0.100696966847238,0.33,0.315,"Withdrawing",-1
"140","Br",0.101342281801164,0.462,0.477,"Withdrawing",-1
"141","Br",0.122849407559956,0.539,0.581,"Withdrawing",-1
"142","Br",0.101847770154047,0.377,0.352,"Withdrawing",-1
"143","Br",0.101342281801164,0.462,0.477,"Withdrawing",-1
"144","Br",0.122849407559956,0.539,0.581,"Withdrawing",-1
"145","Br",0.163383122969148,0.387,0.358,"Withdrawing",-1
"146","Br",0.122849407559956,0.539,0.581,"Withdrawing",-1
"147","SH",0.770475220124034,0.11,0.086,"?",NA
"148","SH",0.435638967600247,0.112,0.851,"?",NA
"149","SH",0.310882476840884,0.1,0.136,"?",NA
"150","SH",0.525368284112916,0.135,0.149,"?",NA
"151","SH",0.143104378691954,0.117,0.217,"?",NA
"152","SH",0.0968327356953748,0.111,0.279,"?",NA
"153","SH",0.435638967600247,0.112,0.851,"?",NA
"154","SH",0.143104378691954,0.117,0.217,"?",NA
"155","SH",0.0968327356953748,0.111,0.279,"?",NA
"156","SH",0.310882476840884,0.1,0.136,"?",NA
"157","SH",0.143104378691954,0.117,0.217,"?",NA
"158","SH",0.0968327356953748,0.111,0.279,"?",NA
"159","SH",0.525368284112916,0.135,0.149,"?",NA
"160","SH",0.0968327356953748,0.111,0.279,"?",NA
"161","SiH3",0.734239554233826,0.156,0.07,"?",NA
"162","SiH3",0.145789514403913,0.191,0.237,"?",NA
"163","SiH3",0.666264346338027,0.194,0.151,"?",NA
"164","SiH3",0.747786729673931,0.203,0.148,"?",NA
"165","SiH3",0.101523856009769,0.233,0.272,"?",NA
"166","SiH3",0.0972290063236152,0.247,0.322,"?",NA
"167","SiH3",0.145789514403913,0.191,0.237,"?",NA
"168","SiH3",0.101523856009769,0.233,0.272,"?",NA
"169","SiH3",0.0972290063236152,0.247,0.322,"?",NA
