"","pka1","pka2","logA","Na.A","p.pka1","p.pka2","p.logA","p.Na.A","s.pka1","s.pka2","s.logA","s.Na.A","sd.pka1","sd.pka2","sd.logA","sd.Na.A","l.pka1","h.pka1","l.pka2","h.pka2","l.logA","h.logA","l.Na.A","h.Na.A","region"
"15",5.28571428571429,6.85714285714286,-1.28571428571429,-6.08571428571429,0.169562795129291,0.00553514306981868,0.332892859813481,0.2869224681621,0.259932432869746,0.0187689103045007,0.265222236084046,0.254469041130136,0.0661259774959696,0.0151596776140326,0.0420144834242214,0.0499618028994469,0,0.429495227999037,0,0.0243040533743194,0.0676706237294356,0.598115095897527,0.032453427031964,0.541391509292236,"Full Viable Region"
"16",5.52040816326531,7.20408163265306,-1.23469387755102,-5.87755102040816,0.190712914236381,0.00328425670702649,0.30236060247896,0.288831375609122,0.268049963709228,0.015134675980723,0.248343209718466,0.256369464490355,0.064020712287615,0.0126001181527513,0.0555524279798276,0.0449962456129811,0,0.458762877945608,0,0.0184189326877495,0.0540173927604942,0.550703812197426,0.0324619111187677,0.545200840099477,"Full Viable Region"
"17",5.75510204081633,7.55102040816327,-1.18367346938776,-5.66938775510204,0.198975016928679,0.00728581077681111,0.291043121982402,0.292681661413407,0.267878012606271,0.0245158801798998,0.235475304573449,0.25997118017687,0.0670036869998306,0.0194099714112079,0.0599022159886373,0.0512370799980219,0,0.46685302953495,0,0.0318016909567109,0.0555678174089527,0.526518426555851,0.0327104812365374,0.552652841590278,"Full Viable Region"
"18",5.98979591836735,7.89795918367347,-1.13265306122449,-5.46122448979592,0.215189372867749,0.0256844905613049,0.285817342444502,0.295344145772736,0.272847069329079,0.0602488187847975,0.233951071441141,0.258116312016634,0.0597060803186441,0.0444601729517999,0.0495315077462855,0.0483480926489587,0,0.488036442196828,0,0.0859333093461024,0.0518662710033611,0.519768413885643,0.0372278337561019,0.55346045778937,"Full Viable Region"
"19",6.22448979591837,8.24489795918367,-1.08163265306122,-5.2530612244898,0.237716483623632,0.0573633066150128,0.265722092392262,0.272324544013476,0.279277303619551,0.0929974980458448,0.222755692929991,0.261287169583835,0.0696262127820231,0.050732483480241,0.064517853098851,0.0612049097069304,0,0.516993787243183,0,0.150360804660858,0.0429663994622708,0.488477785322253,0.011037374429641,0.533611713597311,"Full Viable Region"
"20",6.45918367346939,8.59183673469388,-1.03061224489796,-5.04489795918367,0.266253208173465,0.197073047917177,0.271532282250961,0.291520262760133,0.280051030192888,0.216142427275732,0.227969647066658,0.257852418647017,0.0686640986977379,0.0508219958326963,0.0581047290393346,0.0586369692067361,0,0.546304238366353,0,0.413215475192908,0.0435626351843036,0.499501929317619,0.033667844113116,0.54937268140715,"Full Viable Region"
"21",6.69387755102041,8.93877551020408,-0.979591836734694,-4.83673469387755,0.265580198736228,0.344643333505688,0.275588565980623,0.287375083085223,0.269610423442551,0.274051294871794,0.234387790665251,0.255505688397723,0.0496302930182436,0.0610192291545484,0.0376243941907866,0.0442881188371843,0,0.535190622178779,0.070592038633894,0.618694628377482,0.0412007753153728,0.509976356645874,0.0318693946874996,0.542880771482946,"Full Viable Region"
"22",6.92857142857143,9.28571428571428,-0.928571428571429,-4.62857142857143,0.28565010186176,0.419552415072355,0.266893550336561,0.280242476783449,0.270731331295748,0.270739045942589,0.242821087092255,0.253493760774732,0.0525754021798334,0.0563976259058719,0.056783221945089,0.0428063386845068,0.014918770566012,0.556381433157507,0.148813369129766,0.690291461014943,0.0240724632443051,0.509714637428816,0.0267487160087171,0.533736237558181,"Full Viable Region"
"23",7.16326530612245,9.63265306122449,-0.877551020408163,-4.42040816326531,0.295917324565422,0.408943983730555,0.281620505308819,0.267162022766596,0.270103322975994,0.260764488045909,0.236896942367658,0.252980308379123,0.0525449882899716,0.0542449174777891,0.058624407418788,0.0443701000042655,0.0258140015894284,0.566020647541416,0.148179495684646,0.669708471776463,0.0447235629411611,0.518517447676478,0.0141817143874728,0.520142331145719,"Full Viable Region"
"24",7.39795918367347,9.97959183673469,-0.826530612244898,-4.21224489795918,0.330785168648059,0.405627703623873,0.301716952373209,0.262153656609071,0.271472932092892,0.251734193212207,0.247919911258846,0.254141065382877,0.0621645857567049,0.0557661270780558,0.0678194714259761,0.0570584376985528,0.0593122365551665,0.602258100740951,0.153893510411665,0.65736189683608,0.0537970411143629,0.549636863632054,0.00801259122619391,0.516294721991948,"Full Viable Region"
